index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6333333333333333,0.0916413260002931,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.09553254290337612,0.0916413260002931,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.3321123321123321,0.0916413260002931,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2809834067275112,0.0916413260002931,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.0916413260002931,0.0916413260002931,LogisticRegression,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5333333333333333,4.319657981581986,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.02564102564102564,4.319657981581986,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.48962148962148966,4.319657981581986,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3663378835031339,4.319657981581986,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,4.319657981581986,4.319657981581986,RandomForestClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.009482069313526154,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.15724272550828775,0.009482069313526154,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4914529914529915,0.009482069313526154,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.39035087719298245,0.009482069313526154,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.009482069313526154,0.009482069313526154,KNeighborsClassifier,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.003877185781796773,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.0,0.003877185781796773,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.2417582417582418,0.003877185781796773,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2510433929627752,0.003877185781796773,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.003877185781796773,0.003877185781796773,GaussianNB,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.6333333333333333,0.006354535246888796,SVC,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.09553254290337612,0.006354535246888796,SVC,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.31868131868131866,0.006354535246888796,SVC,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.31154688339373604,0.006354535246888796,SVC,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.006354535246888796,0.006354535246888796,SVC,1,['Z78285_f_at'],[1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
