index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.08680555555555555,9.459423341063989e-05,RandomForestClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.09121208957627751,9.459423341063989e-05,RandomForestClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6308784113060428,9.459423341063989e-05,RandomForestClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.11161411669488815,9.459423341063989e-05,RandomForestClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,9.459423341063989e-05,9.459423341063989e-05,RandomForestClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.12152777777777778,0.00010621815971616242,RandomForestClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.17295793403503512,0.00010621815971616242,RandomForestClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6278554459064327,0.00010621815971616242,RandomForestClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.1531338062759471,0.00010621815971616242,RandomForestClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,0.00010621815971616242,0.00010621815971616242,RandomForestClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.11805555555555555,0.0001650043659740024,RandomForestClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.16786029876728203,0.0001650043659740024,RandomForestClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6272025006091618,0.0001650043659740024,RandomForestClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.13986423519173474,0.0001650043659740024,RandomForestClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,0.0001650043659740024,0.0001650043659740024,RandomForestClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.125,3.6605064653688007e-06,KNeighborsClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.173900026125819,3.6605064653688007e-06,KNeighborsClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.5406615497076024,3.6605064653688007e-06,KNeighborsClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.05863270614937724,3.6605064653688007e-06,KNeighborsClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,3.6605064653688007e-06,3.6605064653688007e-06,KNeighborsClassifier,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.1111111111111111,7.266174846639236e-06,KNeighborsClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.14670890824824867,7.266174846639236e-06,KNeighborsClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.5369659681611436,7.266174846639236e-06,KNeighborsClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.055268159590834386,7.266174846639236e-06,KNeighborsClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,7.266174846639236e-06,7.266174846639236e-06,KNeighborsClassifier,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.08680555555555555,5.226438709845146e-06,KNeighborsClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.09121208957627751,5.226438709845146e-06,KNeighborsClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.5216912361923327,5.226438709845146e-06,KNeighborsClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.05223108152795653,5.226438709845146e-06,KNeighborsClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,5.226438709845146e-06,5.226438709845146e-06,KNeighborsClassifier,1,['1023'],[1],dssa,2,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.11805555555555555,7.595581054273579e-06,KNeighborsClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.16213405888973684,7.595581054273579e-06,KNeighborsClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.539528254954516,7.595581054273579e-06,KNeighborsClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.05661845526262089,7.595581054273579e-06,KNeighborsClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,7.595581054273579e-06,7.595581054273579e-06,KNeighborsClassifier,1,['1023'],[1],dssa,3,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.11458333333333333,6.005897497137388e-06,KNeighborsClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
