index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.5979381443298969,0.011396702955064085,GaussianNB,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.19328560153749375,0.011396702955064085,GaussianNB,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.63384484228474,0.011396702955064085,GaussianNB,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.6146679146812555,0.011396702955064085,GaussianNB,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.011396702955064085,0.011396702955064085,GaussianNB,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.6494845360824743,0.024588911304461586,SVC,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.29519354780893575,0.024588911304461586,SVC,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6112531969309464,0.024588911304461586,SVC,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.5704628483809666,0.024588911304461586,SVC,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.024588911304461586,0.024588911304461586,SVC,3,"['Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5670103092783505,0.07764090962477566,LogisticRegression,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.12844026545838122,0.07764090962477566,LogisticRegression,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
